slice,grayvalue,area,mean_contrast,max_contrast,cx,cy
226,98,6,2.5584836,5.0776057,674,694
229,100,6,3.6451743,6.4672446,678,701
240,104,6,3.157153,5.4957843,678,704
241,99,8,2.7814932,5.6215444,679,704
243,90,1,3.867282,3.867282,678,704
272,106,6,2.4083037,4.9340854,678,711
313,92,6,2.8060844,4.8450375,775,318
314,92,6,2.5906508,4.85747,775,318
346,147,6,2.6064801,5.498044,1182,846
347,140,6,2.2441392,4.6514883,1182,846
360,88,2,2.4961047,2.5569854,671,718
361,87,2,1.2823956,1.9541266,671,718
366,74,6,2.9413784,4.8684883,1014,377
367,72,6,3.0200682,4.9861526,1014,377
391,71,4,2.6095257,3.599346,790,542
392,82,4,4.9220247,5.2821727,790,542
393,59,4,2.3257961,3.1010616,790,542
528,142,6,2.9476526,5.1490636,821,914
582,94,4,3.4875607,5.1455812,662,744
583,109,8,2.4927049,6.7618203,662,745
585,77,2,2.9797423,4.355008,662,744
588,112,2,3.6105235,4.355552,665,746
595,86,4,3.1920576,6.9541254,664,748
596,110,8,2.9689445,7.1939807,664,748
597,111,6,2.4853091,5.3500547,660,746
597,111,6,2.4473655,4.7809,664,748
598,119,6,2.9318874,6.3968453,660,746
599,96,5,1.5984592,3.7677968,659,746
627,118,6,2.2211316,5.219659,1160,356
628,118,6,2.355481,5.2302804,1160,356
634,117,6,2.2778149,5.444533,670,754
635,79,4,3.5965598,5.4225054,664,752
635,121,9,1.8197978,5.2011786,670,754
636,109,8,2.3782673,4.977769,663,753
636,116,6,1.825182,4.756535,670,754
637,117,6,1.9924914,5.0919228,664,753
775,139,4,4.2332134,5.1382456,922,532
776,119,4,3.1577382,4.6781306,922,532
780,134,3,3.1149304,5.9573045,1177,590
781,129,3,1.9936985,5.277437,1177,590
804,148,6,2.836405,4.793924,774,1072
805,151,6,2.520882,5.641974,774,1072
819,87,10,4.0359964,7.5674925,502,1158
820,90,10,4.311126,7.0654573,502,1158
821,81,6,2.280237,5.0405235,504,966
822,80,6,1.6956348,4.9073668,504,966
860,85,6,2.7722366,5.5832458,722,900
861,81,6,2.6496565,5.221951,722,900
877,129,4,2.8767164,5.0630207,1174,628
1180,72,4,2.725151,3.2701812,578,196
